Id,Name,Description,Created on,Updated on,Owner,License,Includes wiki,Forks count,Issues count,Stars count,Watchers count,Repo URL,Commits URL,Languages URL,Languages
74292539,cypherpunk-desert-bus-2016,,2016-11-20T17:58:34Z,2016-11-20T17:58:34Z,petertodd,,True,2,0,0,0,https://api.github.com/repos/petertodd/cypherpunk-desert-bus-2016,https://api.github.com/repos/petertodd/cypherpunk-desert-bus-2016/commits,https://api.github.com/repos/petertodd/cypherpunk-desert-bus-2016/languages,
26393965,darkwallet,Your keys. Your privacy. Your sovereignty.,2014-11-09T11:43:48Z,2014-11-07T13:07:58Z,petertodd,GNU Affero General Public License v3.0,False,0,0,0,0,https://api.github.com/repos/petertodd/darkwallet,https://api.github.com/repos/petertodd/darkwallet/commits,https://api.github.com/repos/petertodd/darkwallet/languages,
13728710,decentralized-consensus-systems,Paper on decentralized consensus systems,2013-10-20T23:15:13Z,2017-01-24T19:34:51Z,petertodd,,True,3,0,6,6,https://api.github.com/repos/petertodd/decentralized-consensus-systems,https://api.github.com/repos/petertodd/decentralized-consensus-systems/commits,https://api.github.com/repos/petertodd/decentralized-consensus-systems/languages,TeX
70600898,diyhpluswiki,"a wiki for do-it-yourself biohacking, open source hardware and transhuman tech",2016-10-11T14:17:36Z,2016-10-11T14:17:41Z,petertodd,,True,0,0,0,0,https://api.github.com/repos/petertodd/diyhpluswiki,https://api.github.com/repos/petertodd/diyhpluswiki/commits,https://api.github.com/repos/petertodd/diyhpluswiki/languages,Groff
33896965,dotfiles-public,My personal dotfiles (public part),2015-04-13T22:15:00Z,2019-10-02T21:59:20Z,petertodd,MIT License,True,0,0,3,3,https://api.github.com/repos/petertodd/dotfiles-public,https://api.github.com/repos/petertodd/dotfiles-public/commits,https://api.github.com/repos/petertodd/dotfiles-public/languages,Vim script
13085635,dust-b-gone,Clean your Bitcoin-QT wallet of unwanted dust,2013-09-25T06:07:05Z,2019-12-01T20:49:58Z,petertodd,MIT License,True,25,0,47,47,https://api.github.com/repos/petertodd/dust-b-gone,https://api.github.com/repos/petertodd/dust-b-gone/commits,https://api.github.com/repos/petertodd/dust-b-gone/languages,Python
37109747,elements,,2015-06-09T04:15:41Z,2015-06-09T04:15:45Z,petertodd,MIT License,False,0,0,0,0,https://api.github.com/repos/petertodd/elements,https://api.github.com/repos/petertodd/elements/commits,https://api.github.com/repos/petertodd/elements/languages,C++
112714223,emin-gun-sirer-lying-about-things,Emin Gün Sirer‏ Lying About Things,2017-12-01T08:24:44Z,2019-03-20T09:41:37Z,petertodd,,True,1,2,23,23,https://api.github.com/repos/petertodd/emin-gun-sirer-lying-about-things,https://api.github.com/repos/petertodd/emin-gun-sirer-lying-about-things/commits,https://api.github.com/repos/petertodd/emin-gun-sirer-lying-about-things/languages,HTML
19590,entropy-oscillator,An entropy oscillator.,2008-05-25T23:58:39Z,2019-08-13T13:25:14Z,petertodd,Other,True,0,0,2,2,https://api.github.com/repos/petertodd/entropy-oscillator,https://api.github.com/repos/petertodd/entropy-oscillator/commits,https://api.github.com/repos/petertodd/entropy-oscillator/languages,
46879,entropy-oscillator.elec,Entropy Oscillator - Electronics,2008-08-28T03:03:12Z,2019-08-13T13:33:18Z,petertodd,Other,True,0,0,3,3,https://api.github.com/repos/petertodd/entropy-oscillator.elec,https://api.github.com/repos/petertodd/entropy-oscillator.elec/commits,https://api.github.com/repos/petertodd/entropy-oscillator.elec/languages,Python
46882,entropy-oscillator.firm,Entropy Oscillator - Firmware,2008-08-28T03:09:15Z,2019-08-13T13:33:18Z,petertodd,,True,0,0,2,2,https://api.github.com/repos/petertodd/entropy-oscillator.firm,https://api.github.com/repos/petertodd/entropy-oscillator.firm/commits,https://api.github.com/repos/petertodd/entropy-oscillator.firm/languages,
136473717,foxglove,,2018-06-07T12:24:53Z,2018-06-17T15:56:06Z,petertodd,,True,0,0,1,1,https://api.github.com/repos/petertodd/foxglove,https://api.github.com/repos/petertodd/foxglove/commits,https://api.github.com/repos/petertodd/foxglove/languages,Rust
5957311,git,Git Source Code Mirror - This is a publish-only repository and all pull requests are ignored. Please follow Documentation/SubmittingPatches procedure for any of your improvements.,2012-09-25T22:03:18Z,2013-01-12T10:14:36Z,petertodd,Other,False,0,0,0,0,https://api.github.com/repos/petertodd/git,https://api.github.com/repos/petertodd/git/commits,https://api.github.com/repos/petertodd/git/languages,C
8075499,gitian.sigs,Trusted Build Process signatures,2013-02-07T15:36:22Z,2015-06-21T20:13:10Z,petertodd,,True,0,0,0,0,https://api.github.com/repos/petertodd/gitian.sigs,https://api.github.com/repos/petertodd/gitian.sigs/commits,https://api.github.com/repos/petertodd/gitian.sigs/languages,
70904888,gitpython-unicode-error,,2016-10-14T11:41:21Z,2016-10-14T11:41:48Z,petertodd,,True,0,0,0,0,https://api.github.com/repos/petertodd/gitpython-unicode-error,https://api.github.com/repos/petertodd/gitpython-unicode-error/commits,https://api.github.com/repos/petertodd/gitpython-unicode-error/languages,Python
6409589,glacier-cli,Command-line interface to Amazon Glacier,2012-10-26T19:56:20Z,2013-01-12T20:40:50Z,petertodd,Other,True,0,0,0,0,https://api.github.com/repos/petertodd/glacier-cli,https://api.github.com/repos/petertodd/glacier-cli/commits,https://api.github.com/repos/petertodd/glacier-cli/languages,Python
5907620,gracie,Import of http://anonscm.debian.org/loggerhead/collab-maint/gracie/ from Bazaar,2012-09-21T21:26:42Z,2013-12-14T03:53:05Z,petertodd,,True,1,0,2,2,https://api.github.com/repos/petertodd/gracie,https://api.github.com/repos/petertodd/gracie/commits,https://api.github.com/repos/petertodd/gracie/languages,Python
27030950,hacker-barbie-visits-the-agency,,2014-11-23T11:58:51Z,2016-10-10T14:00:16Z,petertodd,,False,0,0,1,1,https://api.github.com/repos/petertodd/hacker-barbie-visits-the-agency,https://api.github.com/repos/petertodd/hacker-barbie-visits-the-agency/commits,https://api.github.com/repos/petertodd/hacker-barbie-visits-the-agency/languages,
4237173,hardware-bitcoin-wallet,A minimal Bitcoin wallet intended for embedded devices,2012-05-05T22:56:17Z,2013-01-09T01:40:43Z,petertodd,"BSD 2-Clause ""Simplified"" License",True,2,0,1,1,https://api.github.com/repos/petertodd/hardware-bitcoin-wallet,https://api.github.com/repos/petertodd/hardware-bitcoin-wallet/commits,https://api.github.com/repos/petertodd/hardware-bitcoin-wallet/languages,C
59170550,ID2020DesignWorkshop,Facilitated Design Workshop Event following the UN ID 2020 Summit on Digital Identity,2016-05-19T03:24:05Z,2016-05-18T17:06:33Z,petertodd,,True,0,0,0,0,https://api.github.com/repos/petertodd/ID2020DesignWorkshop,https://api.github.com/repos/petertodd/ID2020DesignWorkshop/commits,https://api.github.com/repos/petertodd/ID2020DesignWorkshop/languages,
